timestamp_unix,timestamp_iso,elapsed_sec,pid,pid_alive,rss_mb,vsz_mb,waiting_queue_size,running_batch_size,prefill_decode_size,req_to_token_pool_used,available_kv_tokens,memory_kvcache,internal_state_count,server_info_ok,server_info_status,server_info_error,metrics_ok,metrics_status,metrics_error
1771037290.019446,2026-02-14T02:48:10.019446+00:00,5310.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037320.01955,2026-02-14T02:48:40.019550+00:00,5340.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037350.019362,2026-02-14T02:49:10.019362+00:00,5370.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037380.019612,2026-02-14T02:49:40.019612+00:00,5400.0,824178,True,356.105,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037410.019616,2026-02-14T02:50:10.019616+00:00,5430.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037440.019523,2026-02-14T02:50:40.019523+00:00,5460.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037470.019529,2026-02-14T02:51:10.019529+00:00,5490.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037500.019317,2026-02-14T02:51:40.019317+00:00,5520.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037530.020235,2026-02-14T02:52:10.020235+00:00,5550.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037560.019646,2026-02-14T02:52:40.019646+00:00,5580.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037590.019519,2026-02-14T02:53:10.019519+00:00,5610.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037620.019656,2026-02-14T02:53:40.019656+00:00,5640.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037650.029841,2026-02-14T02:54:10.029841+00:00,5670.0,824178,True,356.281,4230.535,0,0,0,4,192128,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037680.019415,2026-02-14T02:54:40.019415+00:00,5700.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037710.019443,2026-02-14T02:55:10.019443+00:00,5730.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037740.019562,2026-02-14T02:55:40.019562+00:00,5760.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037770.019479,2026-02-14T02:56:10.019479+00:00,5790.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037800.01959,2026-02-14T02:56:40.019590+00:00,5820.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037830.019395,2026-02-14T02:57:10.019395+00:00,5850.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037860.020137,2026-02-14T02:57:40.020137+00:00,5880.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037890.019585,2026-02-14T02:58:10.019585+00:00,5910.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037920.019861,2026-02-14T02:58:40.019861+00:00,5940.0,824178,True,356.281,4230.535,3,0,3,9,191808,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037950.019685,2026-02-14T02:59:10.019685+00:00,5970.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771037980.019725,2026-02-14T02:59:40.019725+00:00,6000.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771038010.019501,2026-02-14T03:00:10.019501+00:00,6030.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771038040.019394,2026-02-14T03:00:40.019394+00:00,6060.0,824178,True,356.281,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771038070.026463,2026-02-14T03:01:10.026463+00:00,6090.0,824178,True,356.281,4230.535,0,0,0,4,192128,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
